player_id,operator_name,product,tracking_id,card_id,registration_date,ftd_date,commission_per_ftd,commission_earned,currency,tracking_id_date,tracking_id_card_id,tracking_id_campaign_id,fx_to_gbp,commission_earned_gbp,commission_per_ftd_gbp
PLY0004058,StarStake,,250331603003,603,2025-03-31,,300,0,USD,250331,603,003,0.79,0.0,237.0
PLY0004061,StarStake,,250331603003,603,2025-03-31,,300,0,USD,250331,603,003,0.79,0.0,237.0
PLY0004056,StarStake,,250331603003,603,2025-03-31,,300,0,USD,250331,603,003,0.79,0.0,237.0
PLY0004057,StarStake,,250331603003,603,2025-03-31,,300,0,USD,250331,603,003,0.79,0.0,237.0
PLY0004059,StarStake,,250331603003,603,2025-03-31,,300,0,USD,250331,603,003,0.79,0.0,237.0
PLY0004060,StarStake,,250331603003,603,2025-03-31,,300,0,USD,250331,603,003,0.79,0.0,237.0
PLY0004055,StarStake,,250331603003,603,2025-03-31,,300,0,USD,250331,603,003,0.79,0.0,237.0
PLY0004054,StarStake,,250331602002,602,2025-03-31,2025-03-31,300,300,USD,250331,602,002,0.79,237.0,237.0
PLY0004052,StarStake,,250331602002,602,2025-03-31,,300,0,USD,250331,602,002,0.79,0.0,237.0
PLY0004053,StarStake,,250331602002,602,2025-03-31,,300,0,USD,250331,602,002,0.79,0.0,237.0
PLY0004050,StarStake,,250331602002,602,2025-03-31,,300,0,USD,250331,602,002,0.79,0.0,237.0
PLY0004051,StarStake,,250331602002,602,2025-03-31,,300,0,USD,250331,602,002,0.79,0.0,237.0
PLY0004046,StarStake,,250331601001,601,2025-03-31,,300,0,USD,250331,601,001,0.79,0.0,237.0
PLY0004047,StarStake,,250331601001,601,2025-03-31,,300,0,USD,250331,601,001,0.79,0.0,237.0
PLY0004048,StarStake,,250331601001,601,2025-03-31,,300,0,USD,250331,601,001,0.79,0.0,237.0
PLY0004049,StarStake,,250331601001,601,2025-03-31,,300,0,USD,250331,601,001,0.79,0.0,237.0
PLY0004045,BlazeWin,,250331503003,503,2025-03-31,,190,0,EUR,250331,503,003,0.86,0.0,163.4
PLY0004042,BlazeWin,,250331503003,503,2025-03-31,,190,0,EUR,250331,503,003,0.86,0.0,163.4
PLY0004044,BlazeWin,,250331503003,503,2025-03-31,,190,0,EUR,250331,503,003,0.86,0.0,163.4
PLY0004043,BlazeWin,,250331503003,503,2025-03-31,,190,0,EUR,250331,503,003,0.86,0.0,163.4
PLY0004041,BlazeWin,,250331502002,502,2025-03-31,,190,0,EUR,250331,502,002,0.86,0.0,163.4
PLY0004039,BlazeWin,,250331502002,502,2025-03-31,,190,0,EUR,250331,502,002,0.86,0.0,163.4
PLY0004040,BlazeWin,,250331502002,502,2025-03-31,,190,0,EUR,250331,502,002,0.86,0.0,163.4
PLY0004037,BlazeWin,,250331501001,501,2025-03-31,2025-03-31,190,190,EUR,250331,501,001,0.86,163.4,163.4
PLY0004032,BlazeWin,,250331501001,501,2025-03-31,,190,0,EUR,250331,501,001,0.86,0.0,163.4
PLY0004036,BlazeWin,,250331501001,501,2025-03-31,,190,0,EUR,250331,501,001,0.86,0.0,163.4
PLY0004033,BlazeWin,,250331501001,501,2025-03-31,,190,0,EUR,250331,501,001,0.86,0.0,163.4
PLY0004035,BlazeWin,,250331501001,501,2025-03-31,,190,0,EUR,250331,501,001,0.86,0.0,163.4
PLY0004038,BlazeWin,,250331501001,501,2025-03-31,,190,0,EUR,250331,501,001,0.86,0.0,163.4
PLY0004034,BlazeWin,,250331501001,501,2025-03-31,,190,0,EUR,250331,501,001,0.86,0.0,163.4
PLY0004029,RoyalPlex,Sportsbook,250331411003,411,2025-03-31,,225,0,EUR,250331,411,003,0.86,0.0,193.5
PLY0004026,RoyalPlex,Sportsbook,250331411003,411,2025-03-31,,225,0,EUR,250331,411,003,0.86,0.0,193.5
PLY0004028,RoyalPlex,Sportsbook,250331411003,411,2025-03-31,,225,0,EUR,250331,411,003,0.86,0.0,193.5
PLY0004030,RoyalPlex,Sportsbook,250331411003,411,2025-03-31,,225,0,EUR,250331,411,003,0.86,0.0,193.5
PLY0004027,RoyalPlex,Sportsbook,250331411003,411,2025-03-31,,225,0,EUR,250331,411,003,0.86,0.0,193.5
PLY0004031,RoyalPlex,Sportsbook,250331411003,411,2025-03-31,,225,0,EUR,250331,411,003,0.86,0.0,193.5
PLY0004023,RoyalPlex,Casino,250331402002,402,2025-03-31,,150,0,EUR,250331,402,002,0.86,0.0,129.0
PLY0004024,RoyalPlex,Casino,250331402002,402,2025-03-31,,150,0,EUR,250331,402,002,0.86,0.0,129.0
PLY0004025,RoyalPlex,Casino,250331402002,402,2025-03-31,,150,0,EUR,250331,402,002,0.86,0.0,129.0
PLY0004021,RoyalPlex,Casino,250331401001,401,2025-03-31,,150,0,EUR,250331,401,001,0.86,0.0,129.0
PLY0004020,RoyalPlex,Casino,250331401001,401,2025-03-31,,150,0,EUR,250331,401,001,0.86,0.0,129.0
PLY0004022,RoyalPlex,Casino,250331401001,401,2025-03-31,,150,0,EUR,250331,401,001,0.86,0.0,129.0
PLY0004019,RoyalPlex,Casino,250331401001,401,2025-03-31,,150,0,EUR,250331,401,001,0.86,0.0,129.0
PLY0004016,StarStake,,250330603003,603,2025-03-30,,300,0,USD,250330,603,003,0.79,0.0,237.0
PLY0004018,StarStake,,250330603003,603,2025-03-30,,300,0,USD,250330,603,003,0.79,0.0,237.0
PLY0004017,StarStake,,250330603003,603,2025-03-30,,300,0,USD,250330,603,003,0.79,0.0,237.0
PLY0004013,StarStake,,250330602002,602,2025-03-30,,300,0,USD,250330,602,002,0.79,0.0,237.0
PLY0004015,StarStake,,250330602002,602,2025-03-30,,300,0,USD,250330,602,002,0.79,0.0,237.0
PLY0004011,StarStake,,250330602002,602,2025-03-30,,300,0,USD,250330,602,002,0.79,0.0,237.0
PLY0004009,StarStake,,250330602002,602,2025-03-30,,300,0,USD,250330,602,002,0.79,0.0,237.0
PLY0004010,StarStake,,250330602002,602,2025-03-30,,300,0,USD,250330,602,002,0.79,0.0,237.0
PLY0004012,StarStake,,250330602002,602,2025-03-30,,300,0,USD,250330,602,002,0.79,0.0,237.0
PLY0004014,StarStake,,250330602002,602,2025-03-30,,300,0,USD,250330,602,002,0.79,0.0,237.0
PLY0004007,StarStake,,250330601001,601,2025-03-30,,300,0,USD,250330,601,001,0.79,0.0,237.0
PLY0004006,StarStake,,250330601001,601,2025-03-30,,300,0,USD,250330,601,001,0.79,0.0,237.0
PLY0004005,StarStake,,250330601001,601,2025-03-30,,300,0,USD,250330,601,001,0.79,0.0,237.0
PLY0004008,StarStake,,250330601001,601,2025-03-30,,300,0,USD,250330,601,001,0.79,0.0,237.0
PLY0004003,BlazeWin,,250330503003,503,2025-03-30,,190,0,EUR,250330,503,003,0.86,0.0,163.4
PLY0004004,BlazeWin,,250330503003,503,2025-03-30,,190,0,EUR,250330,503,003,0.86,0.0,163.4
PLY0004002,BlazeWin,,250330503003,503,2025-03-30,,190,0,EUR,250330,503,003,0.86,0.0,163.4
PLY0003998,BlazeWin,,250330502002,502,2025-03-30,,190,0,EUR,250330,502,002,0.86,0.0,163.4
PLY0004000,BlazeWin,,250330502002,502,2025-03-30,,190,0,EUR,250330,502,002,0.86,0.0,163.4
PLY0004001,BlazeWin,,250330502002,502,2025-03-30,,190,0,EUR,250330,502,002,0.86,0.0,163.4
PLY0003999,BlazeWin,,250330502002,502,2025-03-30,,190,0,EUR,250330,502,002,0.86,0.0,163.4
PLY0003993,BlazeWin,,250330501001,501,2025-03-30,,190,0,EUR,250330,501,001,0.86,0.0,163.4
PLY0003997,BlazeWin,,250330501001,501,2025-03-30,,190,0,EUR,250330,501,001,0.86,0.0,163.4
PLY0003996,BlazeWin,,250330501001,501,2025-03-30,,190,0,EUR,250330,501,001,0.86,0.0,163.4
PLY0003995,BlazeWin,,250330501001,501,2025-03-30,,190,0,EUR,250330,501,001,0.86,0.0,163.4
PLY0003994,BlazeWin,,250330501001,501,2025-03-30,,190,0,EUR,250330,501,001,0.86,0.0,163.4
PLY0003987,RoyalPlex,Sportsbook,250330411003,411,2025-03-30,2025-03-31,225,225,EUR,250330,411,003,0.86,193.5,193.5
PLY0003991,RoyalPlex,Sportsbook,250330411003,411,2025-03-30,,225,0,EUR,250330,411,003,0.86,0.0,193.5
PLY0003986,RoyalPlex,Sportsbook,250330411003,411,2025-03-30,,225,0,EUR,250330,411,003,0.86,0.0,193.5
PLY0003989,RoyalPlex,Sportsbook,250330411003,411,2025-03-30,,225,0,EUR,250330,411,003,0.86,0.0,193.5
PLY0003992,RoyalPlex,Sportsbook,250330411003,411,2025-03-30,,225,0,EUR,250330,411,003,0.86,0.0,193.5
PLY0003988,RoyalPlex,Sportsbook,250330411003,411,2025-03-30,,225,0,EUR,250330,411,003,0.86,0.0,193.5
